false_positive_rate,true_positive_rate
0.07128571428571429,0.7875
0.07271428571428572,0.7875
0.07271428571428572,0.788
0.07385714285714286,0.788
0.07385714285714286,0.7885
0.07414285714285715,0.7885
0.07414285714285715,0.789
0.07571428571428572,0.789
0.07571428571428572,0.7895
0.076,0.7895
0.076,0.79
0.07614285714285714,0.79
0.07614285714285714,0.7905
0.07671428571428572,0.7905
0.07671428571428572,0.791
0.07771428571428571,0.791
0.07771428571428571,0.7915
0.078,0.7915
0.078,0.7925
0.07828571428571429,0.7925
0.07828571428571429,0.793
0.07857142857142857,0.793
0.07857142857142857,0.7935
0.07871428571428571,0.7935
0.07871428571428571,0.794
0.07885714285714286,0.794
0.07885714285714286,0.7945
0.07971428571428571,0.7945
0.07971428571428571,0.795
0.08028571428571428,0.795
0.08028571428571428,0.797
0.08042857142857143,0.797
0.08042857142857143,0.798
0.08142857142857143,0.798
0.08142857142857143,0.799
0.08157142857142857,0.799
0.08157142857142857,0.7995
0.08185714285714285,0.7995
0.08185714285714285,0.8
0.082,0.8
0.082,0.801
0.08328571428571428,0.801
0.08328571428571428,0.8015
0.08457142857142858,0.8015
0.08457142857142858,0.802
0.08528571428571428,0.802
0.08528571428571428,0.8025
0.08657142857142858,0.8025
0.08657142857142858,0.803
0.08771428571428572,0.803
0.08771428571428572,0.8035
0.08814285714285715,0.8035
0.08814285714285715,0.804
0.08885714285714286,0.804
0.08885714285714286,0.8045
0.08914285714285715,0.8045
0.08914285714285715,0.805
0.08985714285714286,0.805
0.08985714285714286,0.8055
0.09,0.8055
0.09,0.8065
0.09014285714285715,0.8065
0.09014285714285715,0.807
0.09028571428571429,0.807
0.09028571428571429,0.808
0.09171428571428572,0.808
0.09171428571428572,0.8085
0.09214285714285714,0.8085
0.09214285714285714,0.809
0.09271428571428571,0.809
0.09271428571428571,0.8095
0.09357142857142857,0.8095
0.09357142857142857,0.81
0.09385714285714286,0.81
0.09385714285714286,0.8105
0.09457142857142857,0.8105
0.09457142857142857,0.8115
0.095,0.8115
0.095,0.812
0.09557142857142857,0.812
0.09557142857142857,0.8125
0.096,0.8125
0.096,0.813
0.09614285714285714,0.813
0.09614285714285714,0.8135
0.09842857142857143,0.8135
0.09842857142857143,0.814
0.09871428571428571,0.814
0.09871428571428571,0.8145
0.099,0.8145
0.099,0.815
0.10014285714285714,0.815
0.10014285714285714,0.8155
0.10042857142857142,0.8155
0.10042857142857142,0.8165
0.10057142857142858,0.8165
0.10057142857142858,0.817
0.10128571428571428,0.817
0.10128571428571428,0.8175
0.10242857142857142,0.8175
0.10242857142857142,0.818
0.10257142857142858,0.818
0.10257142857142858,0.8195
0.10314285714285715,0.8195
0.10314285714285715,0.82
0.10457142857142857,0.82
0.10457142857142857,0.8205
0.10485714285714286,0.8205
0.10485714285714286,0.821
0.105,0.821
0.105,0.8215
0.10528571428571429,0.8215
0.10528571428571429,0.822
0.10628571428571429,0.822
0.10628571428571429,0.8225
0.10671428571428572,0.8225
0.10671428571428572,0.823
0.107,0.823
0.107,0.8235
0.10771428571428572,0.8235
0.10771428571428572,0.825
0.10785714285714286,0.825
0.10785714285714286,0.8255
0.10871428571428571,0.8255
0.10871428571428571,0.826
0.10957142857142857,0.826
0.10957142857142857,0.8265
0.11014285714285714,0.8265
0.11014285714285714,0.827
0.11042857142857143,0.827
0.11042857142857143,0.8275
0.11085714285714286,0.8275
0.11085714285714286,0.828
0.111,0.828
0.111,0.829
0.11114285714285714,0.829
0.11114285714285714,0.83
0.11171428571428571,0.83
0.11171428571428571,0.831
0.112,0.831
0.112,0.8315
0.11328571428571428,0.8315
0.11328571428571428,0.832
0.11371428571428571,0.832
0.11371428571428571,0.8325
0.11571428571428571,0.8325
0.11571428571428571,0.833
0.11585714285714285,0.833
0.11585714285714285,0.8335
0.11842857142857142,0.8335
0.11842857142857142,0.834
0.11857142857142858,0.834
0.11857142857142858,0.8345
0.119,0.8345
0.119,0.835
0.11914285714285715,0.835
0.11914285714285715,0.836
0.12071428571428572,0.836
0.12071428571428572,0.8365
0.12085714285714286,0.8365
0.12085714285714286,0.838
0.12371428571428572,0.838
0.12371428571428572,0.8385
0.124,0.8385
0.124,0.8395
0.12457142857142857,0.8395
0.12457142857142857,0.84
0.125,0.84
0.125,0.841
0.12528571428571428,0.841
0.12528571428571428,0.8415
0.12642857142857142,0.8415
0.12642857142857142,0.842
0.12771428571428572,0.842
0.12771428571428572,0.8425
0.12785714285714286,0.8425
0.12785714285714286,0.843
0.13028571428571428,0.843
0.13028571428571428,0.8435
0.13071428571428573,0.8435
0.13071428571428573,0.844
0.13142857142857142,0.844
0.13142857142857142,0.8445
0.13328571428571429,0.8445
0.13328571428571429,0.8455
0.13342857142857142,0.8455
0.13342857142857142,0.846
0.13385714285714287,0.846
0.13385714285714287,0.8465
0.1352857142857143,0.8465
0.1352857142857143,0.847
0.136,0.847
0.136,0.8475
0.1372857142857143,0.8475
0.1372857142857143,0.848
0.13742857142857143,0.848
0.13742857142857143,0.8485
0.1377142857142857,0.8485
0.1377142857142857,0.849
0.1382857142857143,0.849
0.1382857142857143,0.8495
0.1392857142857143,0.8495
0.1392857142857143,0.85
0.141,0.85
0.141,0.8505
0.1432857142857143,0.8505
0.1432857142857143,0.851
0.14442857142857143,0.851
0.14442857142857143,0.8515
0.1447142857142857,0.8515
0.1447142857142857,0.852
0.14585714285714285,0.852
0.14585714285714285,0.8525
0.1462857142857143,0.8525
0.1462857142857143,0.853
0.1467142857142857,0.853
0.1467142857142857,0.8535
0.14714285714285713,0.8535
0.14714285714285713,0.854
0.14742857142857144,0.854
0.14742857142857144,0.8545
0.14814285714285713,0.8545
0.14814285714285713,0.855
0.149,0.855
0.149,0.8555
0.15028571428571427,0.8555
0.15028571428571427,0.857
0.15171428571428572,0.857
0.15171428571428572,0.8575
0.15257142857142858,0.8575
0.15257142857142858,0.858
0.15442857142857142,0.858
0.15442857142857142,0.8585
0.15542857142857142,0.8585
0.15542857142857142,0.859
0.15571428571428572,0.859
0.15571428571428572,0.86
0.15628571428571428,0.86
0.15628571428571428,0.8605
0.159,0.8605
0.159,0.861
0.16042857142857142,0.861
0.16042857142857142,0.8615
0.16057142857142856,0.8615
0.16057142857142856,0.862
0.16228571428571428,0.862
0.16228571428571428,0.8625
0.164,0.8625
0.164,0.8635
